Family_correct,Genus_correct,Species_correct,Family,Genus,Species,Region,Reason,Comment
Acanthuridae,Acanthurus,nigros,Acanthuridae,Acanthurus,nigroris,CS/N,Misidentification,Endemic to the Hawaiin Islands
Acanthuridae,Acanthurus,triostegus,Acanthuridae,Acanthurus,triostegas,NW/Christmas.Island/Cocos.Keeling/CS/TE/SE,Spelling,
Acanthuridae,Naso,unicornis,Acanthuridae,Acanthurus,unicornis,SW/NW/Christmas.Island/Cocos.Keeling/CS/TE/Lord.Howe.Island,Synonym,
Acanthuridae,Unknown,spp,,Acanthurid,spp,SW/NW/Christmas.Island/Cocos.Keeling/N/CS/TE/Lord.Howe.Island/SW,Spelling,All regions
Acanthuridae,Unknown,spp,Acanthuridae,Acanthurid,spp,SW/NW/Christmas.Island/Cocos.Keeling/N/CS/TE/Lord.Howe.Island/SW,Spelling,All regions
Acanthuridae,Zebrasoma,veliferum,Acanthuridae,Zebrasoma,velliferum,SW/NW/Christmas.Island/CS/Lord.Howe.Island/TE,Spelling,
Acropomatidae,Malakichthys,spp,,Malakichthys,spp,SW/NW/N/CS/TE,Spelling,
Albulidae,Albula,argentea,Albulidae,Albula,forsteri,SW/NW/N/CS/TE,Synonym,
Albulidae,Albula,argentea,Albulidae,Albula,neoguinaica,SW/NW/N/CS/TE,Synonym,
Anguillidae,Anguilla,australis,Anguillidae,Anguilla,australis australis,CS/TE/Lord.Howe.Island/Norfolk.Island/SE,Spelling,
Aplodactylidae,Aplodactylus,lophodon,Aplodactylidae,Crinodus,lophodon,TE/SE,Synonym,
Aplodactylidae,Aplodactylus,lophodon,,Crinodus,lophodon,TE/SE,Synonym,
Apogonidae,Cheilodipterus,parazonatus,Apogonidae,Cheliodipterus,parazonatus,CS,Spelling,
Apogonidae,Ostorhinchus,angustatus,Apogonidae,Apogon,angustatus,SW/NW/Christmas.Island/Cocos.Keeling/N/CS,Synonym,
Apogonidae,Ostorhinchus,aureus,Apogonidae,Apogon,aureus,SW/NW/Christmas.Island/N/CS/TE/Lord.Howe.Island,Synonym,
Apogonidae,Ostorhinchus,capricornis,Apogonidae,Apogon,capricornis,CS/TE,Synonym,
Apogonidae,Ostorhinchus,cavitensis,Apogonidae,Ostorhinchus,cavitiensis,NW/N/CS,Synonym,
Apogonidae,Ostorhinchus,compressus,Apogonidae,Apogon,compressus,NW/CS/Lord.Howe.Island,Synonym,
Apogonidae,Ostorhinchus,cookii,Apogonidae,Apogon,cooki,SW/NW/N/CS,Synonym,
Apogonidae,Ostorhinchus,cyanosoma,Apogonidae,Apogon,cyanosoma,SW/NW/N,Synonym,
Apogonidae,Ostorhinchus,doederleini,Apogonidae,Apogon,doederleini,SW/NW/N/CS/Lord.Howe.Island/TE,Synonym,
Apogonidae,Ostorhinchus,fasciatus,Apogonidae,Apogon,quadrifasciatus,NW/N/CS/TE,Synonym,
Apogonidae,Ostorhinchus,limenus,Apogonidae,Apogon,limenus,CS/TE,Synonym,
Apogonidae,Ostorhinchus,monospilus,Apogonidae,Apogon,monospilus,NW/N/CS,Synonym,
Apogonidae,Ostorhinchus,novemfasciatus,Apogonidae,Apogon,novemfasciatus,NW/Christmas.Island/Cocos.Keeling/CS,Synonym,
Apogonidae,Ostorhinchus,rueppellii,Apogonidae,Apogon,rueppellii,SW/NW/N,Synonym,
Apogonidae,Ostorhinchus,selas,Apogonidae,Apogon,selas,CS,Synonym,
