FAMILY	GENUS	SPECIES	CAAB CODE
Paralichthyidae	Cephalopsetta	ventrocellata	37460069
Chaetodontidae	Chaetodon	madagaskariensis	37365092
Centrophoridae	Centrophorus	moluccensis	37020001
Labridae	Bodianus	rubrisos	37384200
Ophichthidae	Yirrkala	misolensis	37068053
Antennariidae	Histiophryne	maggiewalker	37210030
Blenniidae	Ecsenius	lineatus	37408025
Trichiuridae	Trichiurus	nickolensis	37440014
Muraenidae	Gymnothorax	porphyreus	37060066
Balistidae	Rhinecanthus	lunula	37465072
Syngnathidae	Hippichthys	cyanospilos	37282072
Pteroidae	Pterois	radiata	37287097
Dasyatidae	Neotrygon	picta	37035029
Chiasmodontidae	Kali	parri	37402008
Rhinidae	Rhynchobatus	palpebratus	37026004
Triakidae	Mustelus	stevensi	37017012
Ophidiidae	Holcomycteronus	brucei	37228110
Scyliorhinidae	Cephaloscyllium	signourum	37015039
Rhinidae	Rhynchobatus	laevis	37026003
Scorpaenidae	Scorpaenodes	quadrispinosus	37287137
Arhynchobatidae	Bathyraja	ishiharai	37031016
Centrolophidae	Schedophilus	labyrinthicus	37445014
Bregmacerotidae	Bregmaceros	mcclellandi	37225002
Scorpaenidae	Rhinopias	aphanes	37287065
Gobiidae	Fusigobius	inframaculatus	37428340
Trachichthyidae	Optivus	agastos	37255007
Cetomimidae	Cetostoma	regani	37132003
Aploactinidae	Bathyaploactis	ornatissimus	37290008
Macrouridae	Coryphaenoides	striaturus	37232053
Narcinidae	Narcinops	nelsoni	37028008
Diceratiidae	Diceratias	pileatus	37214003
Chaetodontidae	Chaetodon	collare	37365089
Bythitidae	Pseudonus	squamiceps	37228112
Orectolobidae	Orectolobus	floridus	37013021
Gigantactinidae	Gigantactis	meadi	37217006
Leiognathidae	Equulites	elongatus	37341011
Carapidae	Encheliophis	vermiops	37229015
Ophiclinidae	Ophiclinus	gracilis	37414002
Ophiclinidae	Ophiclinops	hutchinsi	37414007
Carapidae	Echiodon	rendahli	37229003
Etmopteridae	Etmopterus	lucifer	37020005
Ephippidae	Platax	batavianus	37362002
Carangidae	Alepes	kleinii	37337036
Congridae	Lumiconger	arafura	37067005
Gobiidae	Istigobius	decoratus	37428173
Haemulidae	Pomadasys	maculatus	37350002
Lutjanidae	Pristipomoides	flavipinnis	37346055
Clupeidae	Dussumieria	elopsoides	37085010
Centrophoridae	Deania	calceus	37020003
Urolophidae	Urolophus	viridis	37038007
Sphyrnidae	Eusphyra	blochii	37019003
Pempherididae	Pempheris	multiradiata	37357001
Labridae	Pseudolabrus	luculentus	37384151
Prototroctidae	Prototroctes	maraena	37103001
Nomeidae	Psenes	hillii	37446016
Serranidae	Caesioperca	lepidoptera	37311002
Sternoptychidae	Polyipnus	aquavitus	37107008
Phosichthyidae	Vinciguerria	poweriae	37106007
Draconettidae	Centrodraco	insolitus	37427025
Anomalopidae	Anomalops	katoptron	37260001
Berycidae	Centroberyx	gerrardi	37258004
Callionymidae	Pseudocalliurichthys	delicatulus	37427037
Pomacanthidae	Chaetodontoplus	meredithi	37365065
Labridae	Bodianus	vulpinus	37384001
Alepocephalidae	Talismania	antillarum	37114009
Myctophidae	Taaningichthys	bathyphilus	37122069
Labridae	Halichoeres	hortulanus	37384112
Synodontidae	Synodus	binotatus	37118021
Ostraciidae	Tetrosomus	gibbosus	37466006
Ophiclinidae	Sticharium	dorsale	37414005
Labridae	Coris	batuensis	37384098
Pataecidae	Pataecus	fronto	37292001
Holocentridae	Myripristis	botche	37261004
Labridae	Bodianus	unimaculatus	37384061
Bythitidae	Cataetyx	niki	37228018
Labridae	Bodianus	izuensis	37384058
Synaphobranchidae	Ilyophis	brunneus	37070002
Scorpaenidae	Parascorpaena	mcadamsi	37287096
Acanthuridae	Ctenochaetus	cyanocheilus	37437023
Blenniidae	Omobranchus	lineolatus	37408062
Blenniidae	Blenniella	bilitonensis	37408088
Triglidae	Lepidotrigla	russelli	37288016
Veliferidae	Metavelifer	multiradiatus	37269001
Muraenidae	Strophidon	sathete	37060060
Istiophoridae	Makaira	nigricans	37444003
Pomacentridae	Amphiprion	rubrocinctus	37372028
Chaetodontidae	Chaetodon	assarius	37365012
Chiasmodontidae	Dysalotus	oligoscolus	37402002
Holocentridae	Myripristis	vittata	37261015
Neosebastidae	Neosebastes	nigropunctatus	37287002
Apogonidae	Apogon	seminigracaudus	37327179
Trachichthyidae	Aulotrachichthys	novaezelandicus	37255011
Pomacentridae	Pomacentrus	nigromanus	37372120
Dasyatidae	Taeniurops	meyeni	37035017
Sciaenidae	Otolithes	ruber	37354006
Lophiidae	Lophiodes	mutilus	37208003
Microdesmidae	Nemateleotris	magnifica	37435008
Lethrinidae	Lethrinus	genivittatus	37351002
Carangidae	Turrum	fulvoguttatum	37337037
Apogonidae	Ostorhinchus	hoevenii	37327062
Pempherididae	Pempheris	ypsilychnus	37357007
Sternoptychidae	Argyripnus	ephippiatus	37107012
Labridae	Chlorurus	microrhinos	37386020
Gobiesocidae	Parvicrepis	parvipinnis	37206022
Carangidae	Flavocaranx	bajad	37337079
Scorpaenidae	Taenianotus	triacanthus	37287090
Congridae	Gnathophis	microps	37067030
Scorpaenidae	Scorpaenodes	minor	37287105
Macrouridae	Mesovagus	berryi	37232065
Trichiuridae	Lepidopus	caudatus	37440002
Eleotridae	Calumia	godeffroyi	37429015
Gobiidae	Silhouettea	evanida	37428250
Dentatherinidae	Dentatherina	merceri	37246032
Lophotidae	Lophotus	guntheri	37270001
Serranidae	Acanthistius	serratus	37311035
Tetraodontidae	Torquigener	squamicauda	37467061
Serranidae	Epinephelus	daemelii	37311077
Monacanthidae	Pervagor	janthinosoma	37465068
Carangidae	Seriola	lalandi	37337006
Sciaenidae	Protonibea	diacanthus	37354003
Lutjanidae	Pristipomoides	filamentosus	37346032
Ostraciidae	Tetrosomus	reipublicae	37466008
Aracanidae	Capropygia	unistriata	37466011
Bothidae	Arnoglossus	tenuis	37460044
Monacanthidae	Scobinichthys	granulatus	37465007
Centrolophidae	Tubbia	tasmanica	37445002
Serranidae	Pseudanthias	cooperi	37311113
Lethrinidae	Lethrinus	ornatus	37351015
Blenniidae	Parenchelyurus	hepburni	37408069
Soleidae	Phyllichthys	punctatus	37462005
Gobiidae	Callogobius	okinawae	37428090
Ophichthidae	Echelus	uropterus	37068041
Monacanthidae	Amanses	scopas	37465046
Apogonidae	Siphamia	guttulata	37327116
Apogonidae	Siphamia	roseigaster	37327017
Syngnathidae	Festucalex	scalaris	37282063
Ostraciidae	Ostracion	nasus	37466005
Cheilodactylidae	Cheilodactylus	vestitus	37377008
Pomacentridae	Neopomacentrus	aktites	37372090
Gobiidae	Fusigobius	duospilus	37428145
Dasyatidae	Megatrygon	microps	37035028
Gobiidae	Bryaninops	isis	37428077
Acanthuridae	Ctenochaetus	binotatus	37437021
Blenniidae	Ecsenius	schroederi	37408030
Cirrhitidae	Neocirrhites	armatus	37374007
Chironemidae	Chironemus	georgianus	37375003
Ariidae	Amissidens	hainesi	37188004
Paralichthyidae	Pseudorhombus	argus	37460038
Linophrynidae	Haplophryne	mollis	37222001
Carcharhinidae	Carcharhinus	longimanus	37018032
Gobiidae	Amblyeleotris	wheeleri	37428044
Serranidae	Plectranthias	maculicauda	37311107
Dalatiidae	Isistius	brasiliensis	37020014
Uranoscopidae	Ichthyscopus	fasciatus	37400010
Anomalopidae	Photoblepharon	palpebratum	37260002
Holocentridae	Myripristis	chryseres	37261009
Carangidae	Caranx	heberi	37337080
Pomacentridae	Chrysiptera	flavipinnis	37372061
Synaphobranchidae	Diastobranchus	capensis	37070001
Mullidae	Upeneus	sulphureus	37355007
Eleotridae	Philypnodon	grandiceps	37429002
Tripterygiidae	Helcogramma	gymnauchen	37415033
Paralichthyidae	Pseudorhombus	diplospilus	37460015
Soleidae	Phyllichthys	sclerolepis	37462031
Syngnathidae	Nannocampus	subosseus	37282094
Labridae	Anampses	caeruleopunctatus	37384045
Myctophidae	Notolychnus	valdiviae	37122058
Serranidae	Variola	albimarginata	37311026
Clinidae	Heteroclinus	kuiteri	37416025
Moridae	Gadella	jordani	37224020
Gobiidae	Oxyurichthys	microlepis	37428207
Pomacentridae	Stegastes	insularis	37372150
Gerreidae	Parequula	melbournensis	37349001
Melanostomiidae	Photonectes	mirabilis	37109034
Pataecidae	Neopataecus	waterhousii	37292005
Lamnidae	Carcharodon	carcharias	37010003
Callionymidae	Foetorepus	calauropomus	37427001
Sillaginidae	Sillago	robusta	37330005
Congridae	Rhynchoconger	ectenurus	37067011
Congridae	Gnathophis	nasutus	37067004
Congridae	Conger	verreauxi	37067007
Antennariidae	Antennarius	pictus	37210020
Antennariidae	Histiophryne	bougainvilli	37210024
Alepisauridae	Alepisaurus	brevirostris	37128002
Echinorhinidae	Echinorhinus	brucus	37022001
Paralepididae	Macroparalepis	macrogeneion	37126001
Rhinochimaeridae	Harriotta	raleighana	37044001
Bathylagidae	Bathylagichthys	greyae	37098004
Opistognathidae	Opistognathus	papuensis	37388006
Narcinidae	Narcinops	tasmaniensis	37028002
Oneirodidae	Oneirodes	sabex	37216004
Macrouridae	Lucigadus	nigromaculatus	37232005
Melanostomiidae	Melanostomias	paucilaternatus	37109024
Melanostomiidae	Thysanactis	dentex	37109036
Synodontidae	Saurida	grandisquamis	37118016
Myctophidae	Diaphus	malayanus	37122087
Muraenidae	Gymnothorax	gracilicauda	37060038
Myctophidae	Notoscopelus	resplendens	37122022
Mobulidae	Mobula	mobular	37041002
Muraenidae	Echidna	unicolor	37060025
Carcharhinidae	Carcharhinus	macloti	37018025
Carcharhinidae	Carcharhinus	amblyrhynchoides	37018033
Pristidae	Anoxypristis	cuspidata	37025002
Carcharhinidae	Carcharhinus	cautus	37018034
Ophichthidae	Callechelys	marmorata	37068012
Fistulariidae	Fistularia	commersonii	37278001
Urolophidae	Urolophus	cruciatus	37038002
Plotosidae	Plotosus	canius	37192013
Bramidae	Brama	dussumieri	37342011
Trachichthyidae	Hoplostethus	latus	37255002
Trachichthyidae	Hoplostethus	shubnikovi	37255014
Macrouridae	Ventrifossa	sazonovi	37232097
Labridae	Pseudocheilinus	ocellatus	37384184
Carangidae	Ferdauia	orthogrammus	37337057
Engraulidae	Stolephorus	carpentariae	37086010
Atherinidae	Hypoatherina	barnesi	37246033
Holocentridae	Sargocentron	praslin	37261034
Parazenidae	Parazen	pacificus	37262001
Scorpaenidae	Scorpaenodes	hirsutus	37287075
Scorpaenidae	Scorpaenopsis	venosa	37287086
Serranidae	Epinephelus	melanostigma	37311065
Tripterygiidae	Helcogramma	decurrens	37415015
Moridae	Physiculus	therosideros	37224021
Engraulidae	Thryssa	marasriae	37086025
Ambassidae	Ambassis	interrupta	37310011
Carangidae	Trachinotus	coppingeri	37337076
Labridae	Leptoscarus	vaigiensis	37386009
Bregmacerotidae	Bregmaceros	atlanticus	37225003
Gobiesocidae	Aspasmogaster	costata	37206004
Istiophoridae	Istiompax	indica	37444006
Serranidae	Pseudanthias	sheni	37311176
Serranidae	Plectranthias	lasti	37311178
Atherinidae	Craterocephalus	capreoli	37246015
Apogonidae	Ostorhinchus	flavus	37327126
Moridae	Pseudophycis	barbata	37224003
Moridae	Antimora	rostrata	37224008
Syngnathidae	Hippocampus	bargibanti	37282106
Pinguipedidae	Parapercis	clathrata	37390013
Ephippidae	Platax	pinnatus	37362006
Haemulidae	Pomadasys	auritus	37350019
Hemiramphidae	Zenarchopterus	gilli	37234021
Labridae	Olisthops	cyanomelas	37385001
Labridae	Neoodax	balteatus	37385005
Aploactinidae	Matsubarichthys	inusitatus	37290013
Gobiidae	Eviota	sigillata	37428133
Gobiidae	Eviota	variola	37428136
Pseudochromidae	Pseudochromis	flammicauda	37313005
Nomeidae	Cubiceps	caeruleus	37446010
Mullidae	Upeneichthys	stotti	37355030
Macrouridae	Coryphaenoides	grahami	37232050
Triglidae	Lepidotrigla	spinosa	37288028
Peristediidae	Satyrichthys	lingi	37288030
Tetrarogidae	Ablabys	taenianotus	37287031
Rhinoprenidae	Rhinoprenes	pentanemus	37364001
Pseudochromidae	Ogilbyina	queenslandiae	37313014
Pseudochromidae	Pseudochromis	howsoni	37313030
Macrouridae	Mataeocephalus	acipenserinus	37232086
Macrouridae	Trachonurus	sentipellis	37232092
Samaridae	Samaris	macrolepis	37461027
Labridae	Dotalabrus	aurantiacus	37384018
Diodontidae	Cyclichthys	hardenbergi	37469008
Nemipteridae	Nemipterus	balinensoides	37347038
Plesiopidae	Plesiops	coeruleolineatus	37316013
Gobiidae	Amblygobius	decussatus	37428046
Serranidae	Aethaloperca	rogaa	37311134
Scombridae	Scomberomorus	semifasciatus	37441018
Scombridae	Allothunnus	fallai	37441021
Mugilidae	Liza	subviridis	37381007
Pomacentridae	Pomacentrus	amboinensis	37372106
Monacanthidae	Meuschenia	galii	37465040
Diodontidae	Dicotylichthys	punctulatus	37469013
Creediidae	Schizochirus	insolens	37395006
Nomeidae	Psenes	cyanophrys	37446015
Antennariidae	Echinophryne	reynoldsi	37210023
Psettodidae	Psettodes	erumei	37457001
Triglidae	Lepidotrigla	vanessa	37288003
Triglidae	Pterygotrigla	polyommata	37288006
Gobiidae	Callogobius	mucosus	37428003
Trichiuridae	Benthodesmus	elongatus	37440001
Acanthuridae	Acanthurus	dussumieri	37437008
Pomacentridae	Amphiprion	ocellaris	37372025
Pomacentridae	Parma	mccullochi	37372093
Blenniidae	Ecsenius	midas	37408028
Achiropsettidae	Neoachiropsetta	milfordi	37460052
Melanostomiidae	Bathophilus	indicus	37109010
Percophidae	Bembrops	caudimacula	37393013
Labridae	Coris	caudimacula	37384092
Engraulidae	Setipinna	paxtoni	37086003
Gobiidae	Pandaka	lidwilli	37428210
Orectolobidae	Orectolobus	hutchinsi	37013016
Nemipteridae	Parascolopsis	tanyactis	37347010
Pomacentridae	Stegastes	punctatus	37372134
Mitsukurinidae	Mitsukurina	owstoni	37009002
Balistidae	Balistoides	viridescens	37465048
Serranidae	Epinephelus	coeruleopunctatus	37311070
Chaetodontidae	Forcipiger	flavissimus	37365068
Chaetodontidae	Heniochus	monoceros	37365076
Macrouridae	Ventrifossa	gomoni	37232094
Rondeletiidae	Rondeletia	loricata	37133001
Serranidae	Hyporthodus	darwinensis	37311146
Serranidae	Liopropoma	mitratum	37311157
Tetrabrachiidae	Dibrachichthys	melanurus	37210029
Blenniidae	Cirripectes	hutchinsi	37408014
Sillaginidae	Sillago	analis	37330003
Tetrarogidae	Gymnapistes	marmoratus	37287018
Exocoetidae	Cheilopogon	abei	37233007
Myctophidae	Hygophum	hanseni	37122045
Myctophidae	Lampanyctus	macdonaldi	37122063
